,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7,Pose
14,1381799.8998468218,1502048.428978042,1605577.5859542275,1574648.1720253727,1372837.7849595204,1419165.6991512713,1148016.7605188428,978482.8853766384,1.0
15,1365706.5385316173,1484524.292590006,1586820.2995395593,1556258.3734440273,1356846.265878318,1402623.167177128,1134692.3420889063,967173.4748199374,1.0
16,1350649.3906194235,1468123.4695171409,1569264.6583326904,1539052.507685659,1341905.5309652386,1387167.3655349542,1122278.2425175395,956652.7782999707,1.0
17,1324686.347025972,1439868.1025642667,1539039.7419300284,1509424.1857881977,1316142.7608522559,1360526.4256361774,1100834.2126654787,938441.4203326267,1.0
18,1301603.003780712,1414764.2674186367,1512199.7537030648,1483109.648972118,1293234.7908998241,1336844.2810398203,1081736.5492799177,922194.9614098535,1.0
19,1272890.0323007065,1383566.674050367,1478864.1895336015,1450414.7512598336,1264713.8702846714,1307367.3576099842,1057876.2402214776,901840.2742535996,1.0
20,1241894.143488079,1349909.4244409641,1442913.4134931993,1415144.6304109476,1233899.3349668644,1275525.4455734754,1032028.3619515696,879745.9901805818,1.0
21,1213027.36481953,1318573.5004739678,1409447.3905473214,1382306.3185363954,1205184.7542747692,1245855.268333095,1007901.6154493047,859099.496641874,1.0
22,1180388.7777602992,1283118.1766542254,1371562.826042847,1345138.9755281445,1172724.0812685657,1212305.0877148388,980672.2109660811,835837.7711444508,1.0
23,1152271.4078323306,1252538.4227061395,1338860.902760745,1313067.63531646,1144776.6962620076,1183407.2664311174,957309.4182712747,815943.3424847686,1.0
